supplier_id,supplier_name,location,lead_time_days,reliability_score,average_delay_days
S000120,Ultra Supply Solutions 120,Bangalore,30,79.23,2.66
S000121,Industrial Supply Solutions 121,Gurgaon,25,74.28,1.96
S000122,Standard Supply Solutions 122,Delhi,27,84.34,9.75
S000123,Standard Supply Solutions 123,Jaipur,5,69.93,10.65
S000124,Industrial Supply Solutions 124,Delhi,16,92.16,10.88
S000125,Power Supply Solutions 125,Indore,29,81.7,9.9
S000126,Premium Supply Solutions 126,Chennai,25,84.26,1.82
S000127,Pro Supply Solutions 127,Kolkata,15,93.59,1.35
S000128,Eco Supply Solutions 128,Delhi,4,71.3,6.09
S000129,Premium Supply Solutions 129,Hyderabad,10,70.96,6.35
S000130,Standard Supply Solutions 130,Indore,19,79.31,8.85
S000131,Premium Supply Solutions 131,Chennai,20,91.73,2.83
S000132,Premium Supply Solutions 132,Ahmedabad,28,66.99,11.19
S000133,Pro Supply Solutions 133,Coimbatore,5,92.04,3.86
S000134,Premium Supply Solutions 134,Noida,14,82.03,7.02
S000135,Eco Supply Solutions 135,Bangalore,10,84.1,10.4
S000136,Advanced Supply Solutions 136,Pune,29,84.19,6.38
S000137,Standard Supply Solutions 137,Pune,7,66.91,9.09
S000138,Pro Supply Solutions 138,Chennai,9,73.49,9.04
S000139,Advanced Supply Solutions 139,Hyderabad,11,90.68,9.52
S000140,Industrial Supply Solutions 140,Ahmedabad,5,79.02,9.77
S000141,NextGen Supply Solutions 141,Pune,21,84.06,4.83
S000142,Smart Supply Solutions 142,Chennai,17,97.13,4.49
S000143,Smart Supply Solutions 143,Kolkata,18,66.57,9.68
S000144,Industrial Supply Solutions 144,Pune,28,80.29,7.04
S000145,NextGen Supply Solutions 145,Hyderabad,15,77.28,7.37
S000146,Power Supply Solutions 146,Kolkata,11,68.62,5.06
S000147,Pro Supply Solutions 147,Coimbatore,13,97.33,2.58
S000148,Smart Supply Solutions 148,Ahmedabad,25,97.69,5.59
S000149,Power Supply Solutions 149,Gurgaon,17,75.59,11.64
S000150,Pro Supply Solutions 150,Coimbatore,7,97.19,3.63
S000151,Power Supply Solutions 151,Noida,22,66.2,3.41
S000152,Smart Supply Solutions 152,Hyderabad,23,98.35,1.74
S000153,NextGen Supply Solutions 153,Pune,9,93.42,5.88
S000154,Smart Supply Solutions 154,Ahmedabad,18,72.29,3.6
S000155,Industrial Supply Solutions 155,Ahmedabad,18,85.38,8.31
S000156,Standard Supply Solutions 156,Delhi,7,92.14,1.79
S000157,Ultra Supply Solutions 157,Mumbai,3,75.86,3.12
S000158,Premium Supply Solutions 158,Pune,23,77.03,0.93
S000159,Premium Supply Solutions 159,Indore,20,86.39,0.69
S000160,Eco Supply Solutions 160,Jaipur,22,70.0,9.81
S000161,NextGen Supply Solutions 161,Lucknow,13,69.02,10.89
S000162,Standard Supply Solutions 162,Delhi,17,73.49,9.21
S000163,Industrial Supply Solutions 163,Kolkata,30,90.2,10.41
S000164,Industrial Supply Solutions 164,Gurgaon,9,77.46,1.22
S000165,Industrial Supply Solutions 165,Kolkata,21,82.25,10.8
S000166,Power Supply Solutions 166,Kolkata,6,71.65,5.7
S000167,Advanced Supply Solutions 167,Pune,4,71.6,9.27
S000168,Ultra Supply Solutions 168,Bangalore,29,87.12,7.47
S000169,Advanced Supply Solutions 169,Lucknow,6,68.68,4.33
S000170,Pro Supply Solutions 170,Indore,21,87.71,3.32
S000171,Ultra Supply Solutions 171,Mumbai,17,78.62,1.59
S000172,Pro Supply Solutions 172,Kolkata,25,87.82,5.07
S000173,Eco Supply Solutions 173,Ahmedabad,18,77.98,6.03
S000174,Eco Supply Solutions 174,Kochi,22,93.77,11.8
S000175,Standard Supply Solutions 175,Coimbatore,28,66.89,0.64
S000176,Industrial Supply Solutions 176,Kolkata,26,95.37,7.16
S000177,Eco Supply Solutions 177,Kochi,23,74.13,6.39
S000178,Ultra Supply Solutions 178,Coimbatore,7,66.45,0.47
S000179,NextGen Supply Solutions 179,Lucknow,7,84.12,4.09
S000180,Premium Supply Solutions 180,Chennai,16,72.63,5.19
S000181,NextGen Supply Solutions 181,Lucknow,21,80.61,6.03
S000182,Ultra Supply Solutions 182,Kolkata,21,92.28,2.95
S000183,Industrial Supply Solutions 183,Bangalore,25,91.91,0.6
S000184,Standard Supply Solutions 184,Kochi,5,85.41,3.67
S000185,Industrial Supply Solutions 185,Lucknow,7,98.25,10.07
S000186,Industrial Supply Solutions 186,Pune,7,80.77,9.73
S000187,Ultra Supply Solutions 187,Kolkata,18,66.34,2.33
S000188,Advanced Supply Solutions 188,Pune,20,92.86,7.83
S000189,Smart Supply Solutions 189,Mumbai,6,72.52,11.1
S000190,Advanced Supply Solutions 190,Coimbatore,27,70.99,2.23
S000191,Standard Supply Solutions 191,Bangalore,11,67.38,1.72
S000192,Standard Supply Solutions 192,Gurgaon,21,76.15,0.46
S000193,Standard Supply Solutions 193,Bangalore,24,76.09,2.23
S000194,Advanced Supply Solutions 194,Jaipur,4,75.29,9.8
S000195,NextGen Supply Solutions 195,Indore,27,85.17,9.81
S000196,Pro Supply Solutions 196,Noida,30,90.55,6.58
S000197,Advanced Supply Solutions 197,Noida,29,96.88,4.14
S000198,Ultra Supply Solutions 198,Lucknow,6,68.2,9.72
S000199,Advanced Supply Solutions 199,Coimbatore,13,70.11,2.5
S000200,NextGen Supply Solutions 200,Lucknow,9,85.05,1.85
S000201,Advanced Supply Solutions 201,Hyderabad,15,68.34,1.25
S000202,NextGen Supply Solutions 202,Gurgaon,30,77.61,10.25
S000203,Industrial Supply Solutions 203,Lucknow,24,86.23,8.64
S000204,Standard Supply Solutions 204,Chennai,24,91.54,7.57
S000205,Industrial Supply Solutions 205,Jaipur,14,72.4,8.78
S000206,Smart Supply Solutions 206,Bangalore,29,87.71,1.89
S000207,Eco Supply Solutions 207,Indore,28,86.96,4.74
S000208,NextGen Supply Solutions 208,Noida,25,94.23,9.81
S000209,Smart Supply Solutions 209,Kochi,25,75.67,11.02
S000210,Eco Supply Solutions 210,Lucknow,21,90.5,6.25
S000211,Smart Supply Solutions 211,Hyderabad,5,90.57,1.64
S000212,Eco Supply Solutions 212,Kolkata,10,73.13,11.75
S000213,Eco Supply Solutions 213,Lucknow,24,86.12,4.86
S000214,Industrial Supply Solutions 214,Delhi,12,87.96,3.96
S000215,Eco Supply Solutions 215,Lucknow,7,74.33,1.62
S000216,Smart Supply Solutions 216,Chennai,29,80.36,0.35
S000217,Pro Supply Solutions 217,Gurgaon,16,79.82,7.32
S000218,Pro Supply Solutions 218,Ahmedabad,27,91.3,7.43
S000219,Industrial Supply Solutions 219,Jaipur,10,65.02,2.96
S000220,NextGen Supply Solutions 220,Lucknow,13,82.03,2.11
S000221,Ultra Supply Solutions 221,Pune,12,71.27,6.43
S000222,Industrial Supply Solutions 222,Delhi,13,86.99,5.34
S000223,Eco Supply Solutions 223,Kolkata,15,88.13,3.78
S000224,Smart Supply Solutions 224,Noida,11,82.04,2.78
S000225,Eco Supply Solutions 225,Kochi,25,83.43,10.34
S000226,Advanced Supply Solutions 226,Kochi,12,75.71,11.81
S000227,Power Supply Solutions 227,Pune,15,75.65,4.4
S000228,Premium Supply Solutions 228,Coimbatore,27,90.33,8.44
S000229,Premium Supply Solutions 229,Mumbai,15,69.48,10.41
S000230,Ultra Supply Solutions 230,Mumbai,3,91.23,0.52
S000231,Industrial Supply Solutions 231,Bangalore,3,87.27,10.92
S000232,Power Supply Solutions 232,Indore,15,95.07,6.09
S000233,Pro Supply Solutions 233,Delhi,21,73.84,6.77
S000234,Eco Supply Solutions 234,Noida,29,82.21,6.57
S000235,Industrial Supply Solutions 235,Lucknow,6,66.33,3.07
S000236,Eco Supply Solutions 236,Kochi,18,96.03,9.43
S000237,Standard Supply Solutions 237,Coimbatore,11,87.96,8.84
S000238,Industrial Supply Solutions 238,Bangalore,15,86.18,1.33
S000239,Advanced Supply Solutions 239,Kolkata,15,89.91,6.84
S000240,Standard Supply Solutions 240,Ahmedabad,11,74.67,11.49
S000241,Ultra Supply Solutions 241,Jaipur,3,85.53,10.48
S000242,Premium Supply Solutions 242,Noida,5,92.23,7.59
S000243,Pro Supply Solutions 243,Gurgaon,17,68.07,2.54
S000244,Standard Supply Solutions 244,Chennai,9,97.6,4.3
S000245,Standard Supply Solutions 245,Mumbai,12,95.32,1.97
S000246,Pro Supply Solutions 246,Kolkata,5,97.74,9.9
S000247,Eco Supply Solutions 247,Hyderabad,4,92.48,9.39
S000248,Industrial Supply Solutions 248,Gurgaon,6,75.01,10.94
S000249,Eco Supply Solutions 249,Kochi,13,84.77,0.95
S000250,Pro Supply Solutions 250,Gurgaon,7,69.09,11.58
S000251,Ultra Supply Solutions 251,Gurgaon,9,90.64,11.6
S000252,Industrial Supply Solutions 252,Bangalore,11,70.22,8.16
S000253,Ultra Supply Solutions 253,Noida,11,94.47,10.6
S000254,Advanced Supply Solutions 254,Kolkata,3,73.18,5.37
S000255,Standard Supply Solutions 255,Mumbai,6,70.45,3.9
S000256,Ultra Supply Solutions 256,Hyderabad,29,67.41,2.02
S000257,Standard Supply Solutions 257,Kochi,21,89.19,0.57
S000258,Ultra Supply Solutions 258,Indore,6,71.33,0.7
S000259,Ultra Supply Solutions 259,Ahmedabad,10,71.72,8.36
S000260,Premium Supply Solutions 260,Coimbatore,13,70.77,4.17
S000261,Eco Supply Solutions 261,Delhi,28,75.4,0.84
S000262,Ultra Supply Solutions 262,Chennai,27,97.0,1.52
S000263,Smart Supply Solutions 263,Indore,24,81.55,8.05
S000264,NextGen Supply Solutions 264,Delhi,5,73.87,11.28
S000265,NextGen Supply Solutions 265,Noida,16,70.79,5.01
S000266,Premium Supply Solutions 266,Hyderabad,16,65.64,9.38
S000267,Industrial Supply Solutions 267,Chennai,20,77.41,11.69
S000268,Advanced Supply Solutions 268,Ahmedabad,26,68.74,8.56
S000269,Standard Supply Solutions 269,Pune,11,65.92,8.73
S000270,Premium Supply Solutions 270,Indore,18,68.5,7.47
S000271,Smart Supply Solutions 271,Coimbatore,10,75.83,11.74
S000272,Pro Supply Solutions 272,Ahmedabad,8,90.53,3.74
S000273,Ultra Supply Solutions 273,Ahmedabad,11,67.28,9.44
S000274,NextGen Supply Solutions 274,Bangalore,23,88.07,5.1
S000275,Industrial Supply Solutions 275,Hyderabad,15,86.1,2.03
S000276,Industrial Supply Solutions 276,Bangalore,22,94.99,8.92
S000277,Industrial Supply Solutions 277,Lucknow,22,71.26,9.99
S000278,Eco Supply Solutions 278,Hyderabad,13,92.01,10.39
S000279,Pro Supply Solutions 279,Pune,29,94.41,11.08
S000280,Pro Supply Solutions 280,Lucknow,4,98.2,8.99
S000281,Smart Supply Solutions 281,Jaipur,28,92.49,6.43
S000282,Industrial Supply Solutions 282,Noida,3,69.21,11.28
S000283,Standard Supply Solutions 283,Bangalore,13,97.2,2.67
S000284,Industrial Supply Solutions 284,Gurgaon,26,92.71,1.11
S000285,Industrial Supply Solutions 285,Gurgaon,22,72.22,5.29
S000286,NextGen Supply Solutions 286,Chennai,12,70.62,7.07
S000287,Ultra Supply Solutions 287,Kochi,27,96.84,8.22
S000288,Premium Supply Solutions 288,Indore,6,70.29,9.82
S000289,Premium Supply Solutions 289,Hyderabad,21,91.42,0.52
S000290,Industrial Supply Solutions 290,Chennai,17,78.78,9.66
S000291,Power Supply Solutions 291,Chennai,8,89.61,7.28
S000292,Smart Supply Solutions 292,Lucknow,28,68.12,11.44
S000293,NextGen Supply Solutions 293,Mumbai,24,89.65,4.31
S000294,Advanced Supply Solutions 294,Indore,3,82.4,7.48
S000295,Premium Supply Solutions 295,Kochi,5,95.61,9.25
S000296,Premium Supply Solutions 296,Ahmedabad,4,71.41,6.29
S000297,Power Supply Solutions 297,Gurgaon,14,68.72,2.04
S000298,Industrial Supply Solutions 298,Indore,14,71.67,0.79
S000299,Smart Supply Solutions 299,Kochi,23,67.67,1.51
S000300,Pro Supply Solutions 300,Chennai,21,98.33,6.04
S000301,Advanced Supply Solutions 301,Bangalore,3,69.18,7.75
S000302,Power Supply Solutions 302,Noida,16,71.83,6.93
S000303,Pro Supply Solutions 303,Delhi,24,92.53,8.61
S000304,Power Supply Solutions 304,Mumbai,28,73.39,0.66
S000305,Premium Supply Solutions 305,Coimbatore,11,72.56,1.81
S000306,Ultra Supply Solutions 306,Ahmedabad,4,87.86,9.18
S000307,Advanced Supply Solutions 307,Noida,7,78.56,9.42
S000308,Premium Supply Solutions 308,Hyderabad,12,93.41,8.49
S000309,Advanced Supply Solutions 309,Mumbai,15,86.7,9.0
S000310,Ultra Supply Solutions 310,Bangalore,12,74.8,11.57
S000311,Standard Supply Solutions 311,Pune,5,85.33,11.34
S000312,Standard Supply Solutions 312,Bangalore,12,94.46,7.8
S000313,Ultra Supply Solutions 313,Kolkata,11,77.39,3.97
S000314,Smart Supply Solutions 314,Chennai,16,90.04,0.37
S000315,Smart Supply Solutions 315,Ahmedabad,5,79.14,7.65
S000316,Standard Supply Solutions 316,Gurgaon,25,83.46,5.29
S000317,Eco Supply Solutions 317,Chennai,14,89.95,1.93
S000318,Eco Supply Solutions 318,Kolkata,11,67.06,2.74
S000319,NextGen Supply Solutions 319,Mumbai,28,80.47,11.25
S000320,Eco Supply Solutions 320,Chennai,23,68.24,0.98
S000321,Advanced Supply Solutions 321,Coimbatore,6,89.65,9.49
S000322,Ultra Supply Solutions 322,Coimbatore,7,85.67,10.84
S000323,Standard Supply Solutions 323,Ahmedabad,3,76.12,8.32
S000324,NextGen Supply Solutions 324,Coimbatore,18,67.59,0.92
S000325,NextGen Supply Solutions 325,Ahmedabad,12,96.48,10.18
S000326,Smart Supply Solutions 326,Mumbai,13,75.71,7.91
S000327,Smart Supply Solutions 327,Indore,17,74.36,3.47
S000328,Pro Supply Solutions 328,Kolkata,18,68.43,7.63
S000329,Ultra Supply Solutions 329,Noida,3,84.63,1.81
S000330,Premium Supply Solutions 330,Noida,6,74.03,8.55
S000331,Premium Supply Solutions 331,Chennai,25,93.66,10.86
S000332,Advanced Supply Solutions 332,Kochi,29,88.21,6.36
S000333,Advanced Supply Solutions 333,Ahmedabad,26,65.13,11.43
S000334,Power Supply Solutions 334,Pune,28,84.23,5.37
S000335,Industrial Supply Solutions 335,Chennai,15,72.88,10.32
S000336,Power Supply Solutions 336,Kochi,26,65.52,9.33
S000337,NextGen Supply Solutions 337,Hyderabad,27,86.06,1.24
S000338,Advanced Supply Solutions 338,Mumbai,27,71.97,10.97
S000339,Smart Supply Solutions 339,Indore,7,95.59,10.94
S000340,NextGen Supply Solutions 340,Chennai,7,84.49,4.35
S000341,Standard Supply Solutions 341,Noida,14,72.11,9.56
S000342,Smart Supply Solutions 342,Jaipur,17,98.29,2.85
S000343,Standard Supply Solutions 343,Lucknow,29,83.58,0.56
S000344,Premium Supply Solutions 344,Noida,11,70.63,2.65
S000345,NextGen Supply Solutions 345,Jaipur,26,82.59,5.91
S000346,Smart Supply Solutions 346,Lucknow,27,97.62,0.88
S000347,NextGen Supply Solutions 347,Coimbatore,30,79.42,2.09
S000348,NextGen Supply Solutions 348,Bangalore,8,79.46,11.42
S000349,Ultra Supply Solutions 349,Kochi,9,80.68,6.03
S000350,Ultra Supply Solutions 350,Delhi,9,74.52,9.91
S000351,Premium Supply Solutions 351,Indore,23,70.5,2.64
S000352,Pro Supply Solutions 352,Bangalore,22,84.68,1.24
S000353,Smart Supply Solutions 353,Hyderabad,14,95.4,9.41
S000354,Industrial Supply Solutions 354,Delhi,5,90.01,4.32
S000355,NextGen Supply Solutions 355,Noida,17,68.27,5.63
S000356,NextGen Supply Solutions 356,Bangalore,23,78.63,11.91
S000357,Ultra Supply Solutions 357,Bangalore,16,65.18,3.94
S000358,Power Supply Solutions 358,Ahmedabad,10,75.47,5.78
S000359,Pro Supply Solutions 359,Coimbatore,19,87.76,7.69
S000360,Eco Supply Solutions 360,Ahmedabad,21,74.87,1.25
S000361,Power Supply Solutions 361,Kolkata,19,93.58,8.65
S000362,Power Supply Solutions 362,Noida,27,81.23,5.53
S000363,Smart Supply Solutions 363,Gurgaon,11,87.75,2.27
S000364,Power Supply Solutions 364,Pune,20,95.05,5.28
S000365,Ultra Supply Solutions 365,Gurgaon,26,88.22,5.64
S000366,Premium Supply Solutions 366,Bangalore,8,95.51,7.76
S000367,Industrial Supply Solutions 367,Hyderabad,10,92.47,11.26
S000368,Advanced Supply Solutions 368,Jaipur,4,84.28,9.23
S000369,Pro Supply Solutions 369,Pune,13,75.11,4.71
S000370,Eco Supply Solutions 370,Bangalore,4,75.14,11.64
S000371,Advanced Supply Solutions 371,Mumbai,23,94.76,9.53
S000372,Standard Supply Solutions 372,Lucknow,5,66.83,0.53
S000373,Industrial Supply Solutions 373,Chennai,22,97.01,1.58
S000374,Advanced Supply Solutions 374,Bangalore,19,76.12,2.77
S000375,Power Supply Solutions 375,Jaipur,30,90.12,1.19
S000376,Pro Supply Solutions 376,Ahmedabad,12,76.22,5.93
S000377,Eco Supply Solutions 377,Kolkata,12,97.41,4.22
S000378,Eco Supply Solutions 378,Indore,9,66.24,11.68
S000379,Advanced Supply Solutions 379,Chennai,18,77.01,5.78
S000380,Smart Supply Solutions 380,Gurgaon,9,94.49,2.7
S000381,Pro Supply Solutions 381,Kochi,6,74.32,11.65
S000382,NextGen Supply Solutions 382,Noida,29,74.37,6.26
S000383,NextGen Supply Solutions 383,Hyderabad,22,95.56,1.06
S000384,Smart Supply Solutions 384,Jaipur,6,93.24,1.15
S000385,Pro Supply Solutions 385,Kochi,20,68.6,8.17
S000386,Ultra Supply Solutions 386,Mumbai,11,84.73,6.04
S000387,Pro Supply Solutions 387,Delhi,8,72.6,7.57
S000388,Power Supply Solutions 388,Jaipur,16,72.31,10.23
S000389,Power Supply Solutions 389,Mumbai,25,85.92,8.24
S000390,Ultra Supply Solutions 390,Indore,3,69.21,10.37
S000391,Eco Supply Solutions 391,Mumbai,12,80.97,8.96
S000392,Ultra Supply Solutions 392,Coimbatore,28,73.7,8.16
S000393,Advanced Supply Solutions 393,Jaipur,14,94.03,1.79
S000394,Premium Supply Solutions 394,Kolkata,5,83.85,5.9
S000395,Eco Supply Solutions 395,Chennai,15,72.31,5.31
S000396,Power Supply Solutions 396,Pune,22,96.5,6.58
S000397,Pro Supply Solutions 397,Kochi,30,92.98,4.82
S000398,Ultra Supply Solutions 398,Kochi,20,74.02,7.52
S000399,Smart Supply Solutions 399,Hyderabad,4,97.68,4.83
S000400,Advanced Supply Solutions 400,Gurgaon,25,74.1,6.78
S000401,NextGen Supply Solutions 401,Coimbatore,24,74.95,4.86
S000402,Eco Supply Solutions 402,Hyderabad,21,78.12,10.84
S000403,Advanced Supply Solutions 403,Jaipur,28,70.6,4.61
S000404,NextGen Supply Solutions 404,Delhi,24,88.36,8.83
S000405,Industrial Supply Solutions 405,Lucknow,9,83.95,7.44
S000406,Premium Supply Solutions 406,Delhi,14,95.41,4.75
S000407,Industrial Supply Solutions 407,Chennai,17,73.19,9.73
S000408,Ultra Supply Solutions 408,Kolkata,16,70.79,11.15
S000409,NextGen Supply Solutions 409,Pune,20,77.19,9.17
S000410,Pro Supply Solutions 410,Delhi,22,69.97,11.39
S000411,Ultra Supply Solutions 411,Noida,5,97.17,5.35
S000412,Smart Supply Solutions 412,Bangalore,18,89.39,10.98
S000413,Smart Supply Solutions 413,Coimbatore,4,92.07,10.54
S000414,Ultra Supply Solutions 414,Bangalore,17,90.43,9.2
S000415,Pro Supply Solutions 415,Pune,14,73.26,10.06
S000416,Standard Supply Solutions 416,Indore,8,69.78,8.82
S000417,NextGen Supply Solutions 417,Delhi,30,79.6,6.25
S000418,Ultra Supply Solutions 418,Mumbai,10,93.19,6.72
S000419,Smart Supply Solutions 419,Kochi,4,76.24,5.13
S000420,Premium Supply Solutions 420,Mumbai,13,65.33,8.04
